country,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,41.7,40.5,40,39.6,38.8,38.6,38.9,38.9,39.4,39.9,39.3,39.2,39,38.8,38.9,38.8,38.8,38.9,38.3,38.5,38.6,38.2
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,39.9,40.2,39.8,39.8,39.4,39.3,39.2,39.2,39.4,38.8,38.7,38,38.4,38.1,37.8,37.7,37.4,38.1,38.1,38,38.4,38,38.3,38.2,37.9,37.6,37.8,38.1,37.2
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,41.2,43.2,43.4,43.2,43.7,43.6,43.1,41.8,42.2,42.3,41.5,40.4,39.6,39.1,39.3,39.2,39.1,39.3,39.2,39.3,38.9,38.9,38.6,38.1
"Macao, China",,,,,,,,,,,,,,,,,,,,,48,47.9,47.9,48.7,48.5,48.2,48,47.9,48,48.4,48.3,48.1,48.1,47.8,47.3,48,47.5,47.1,46.9,46.9,46,47,46,46,47,47,46,46,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,44.9,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,37.5,38.6,37.8,37.5,37.2,36.6,36.2,37,37.5,37.9,35.7
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,,32.2,,,33.3,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,48.5,,,46.2,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3,40.9,40.8,43.4,43.2,41.8,41.7,41.2,41.4,41.5,41.5,41.5,41.6,41.7,41.9,42,42,41.8,38.8
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,43.2,41.2,40.3,41.5,41.5,41.7,41.9,41.7,41.5,41.5,42.2,41.9,41.1,36.6
